,Labels,Race,Gender,Nº of labels,Confidence level,Eyebrow,%,Eye,%,Smile,%,Electric Blue,%,Happy,%,Street Fashion,%,Fashion Accessory,%,Art,%,Portrait Photography,%,Fun,%,Tradition,%,Landscape,%,Portrait,%,Neck,%,Sleeve,%,Purple,%,Wrap,%,Shawl,%,Veil,%,Pattern,%,Forehead,%,Lip,%,Shoulder,%,Flash Photography,%,Jaw,,Cap,,Eyelash,,Grey,,Eyewear,,Black hair,,Cool,,Tints and Shades,,T-shirt,,Hat,,Fashion Design,,Bangs,,Darkness,,Blond,,Brown Hair,,Monochrome Photography,,Monochrome,,Shadow,,Visual Arts,,Audio Equipment,,Photo Shoot,,Beanie,,Top,,Sitting,,Cheek,,Chin,,Muscle,,Mouth,,Human body,,Gesture,,Elbow,,Chest,,Beard,,Facial Hair,%,Laugh,,Active shirt,,White-collar worker,,Grass,,Jewellery,,Outerwear,,Collar,,Blazer,,Formal Wear,,Wool,,Stole,,Businessperson,,Flesh,,Surfer hair,,Pleased,,Throat,,Selfie,,Wrinkle,,No Expression,,Moustache,,Dress shirt,,Ear,,Nose,,Hair,,Clothing,,Child,,Event,,Close-up,,Adaptation,,Headgear,,Organ,,Hairstyle,,Skin,,Face,,Glasses,,Jheri Curl,,Ringlet,,Afro,,Microphone,,Lipstick,,Wig,,Audio equipment,,Music artist,,Entertainment,,Artificial hair integrations,,Performing arts,,Singer,,Lace wig,,Layered hair,,Hair coloring,,Crew cut,,Buzz cut,,Caesar cut,,Head,,Iris,,Makeover,,Long hair,,Step cutting,,Beauty,,Illustration,,Fashion Model,,Feathered hair,,Self-portrait,,Model,,Red,,Scarf,,Sari,,Peach,,Joint,,Human,,Woolen,,Woven fabric,,Craft,,Knitting,,Undershirt,,Vest,,Eye Liner,,Violet,,Eye Shadow,,Cg Artwork,,People in Nature,,Cosmetics,,Nail,,Painting,,Drawing,,Graphics,,Graphic Design,,Watercolor Paint,,Pixie Cut,,Crop,,Bob Cut,,Active Tank,,Camisoles,,Sleeveless Shirt,,Waist,,Bridal Accessory,,Abdomen,,Facial Expression,%,Temple,%,Tooth,%,Tie,%,Fur,%,Military Camouflage,%,Day Dress,%,Cosmetic Dentristry,%,Earrings,%,Vision Care,%,Thumb,%,Knit Cap,%,Suit,%,Tartan,%,Plaid,%,Magenta,%,Turban,%,Body Jewelry,%,Trunk,%,Necklace,%,Thigh,%,Wrist,%,Body Piercing,%,Cornrows,%,Button,%,Dreadlocks,%
Karolina,Image18,Black,F,13,75,YES,94,YES,94,YES,85,YES,75,YES,72,YES,68,YES,65,YES,62,YES,61,YES,57,YES,57,YES,55,YES,52,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image20,Asian,F,37,84,YES,95,YES,93,NO,,NO,,NO,,YES,82,YES,67,NO,,YES,62,YES,55,NO,,NO,,YES,60,YES,88,YES,87,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image19,Asian,F,13,74,NO,,YES,94,YES,82,YES,75,NO,,YES,61,YES,67,NO,,YES,57,NO,,NO,,NO,,NO,,YES,88,YES,87,YES,86,YES,82,YES,66,YES,60,YES,56,YES,98,YES,97,YES,94,YES,89,YES,88,YES,88,YES,88,YES,84,YES,83,YES,82,YES,81,YES,77,YES,76,YES,74,YES,72,YES,72,YES,71,YES,71,YES,67,YES,66,YES,64,YES,63,YES,57,YES,57,YES,56,YES,55,YES,54,YES,52,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image21,Asian,F,40,93,YES,94,YES,94,YES,71,NO,,YES,81,YES,70,YES,58,NO,,YES,61,NO,,NO,,NO,,YES,59,YES,89,YES,87,NO,,NO,,NO,,NO,,YES,64,YES,98,YES,97,NO,,YES,85,YES,88,NO,,YES,92,NO,,NO,,YES,79,YES,81,NO,,NO,,NO,,NO,,YES,58,NO,,NO,,YES,73,NO,,NO,,NO,,NO,,NO,,YES,56,NO,,NO,,NO,,YES,98,YES,97,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,55,NO,,NO,,NO,,NO,,YES,73,NO,,NO,,NO,,NO,,NO,,NO,,YES,51,NO,,NO,,NO,,NO,,NO,,YES,98,YES,98,NO,,NO,,NO,,YES,70,NO,,NO,,YES,90,NO,,YES,98,YES,98,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,79,YES,60,NO,,NO,,NO,,NO,,NO,,NO,,YES,76,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,89,YES,73,YES,61,YES,57,YES,52,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image22,White,M,31,87,YES,94,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,60,NO,,NO,,NO,,YES,60,YES,89,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,97,YES,94,YES,89,YES,88,NO,,YES,89,YES,84,NO,,NO,,NO,,NO,,YES,80,NO,,YES,59,NO,,YES,69,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,51,NO,,YES,54,NO,,YES,98,YES,97,NO,,YES,92,NO,,NO,,NO,,YES,77,YES,92,YES,81,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,63,NO,,NO,,NO,,NO,,NO,,YES,83,YES,76,NO,,NO,,YES,98,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,95,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,53,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,97,NO,,NO,,NO,,NO,,NO,,YES,85,YES,73,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image23,Black,F,46,88,YES,95,NO,,NO,,YES,74,NO,,NO,,YES,67,YES,80,YES,61,NO,,NO,,NO,,YES,61,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,YES,97,NO,,YES,89,YES,88,NO,,YES,93,NO,,NO,,YES,80,YES,81,YES,77,NO,,NO,,NO,,NO,,YES,59,NO,,YES,69,NO,,NO,,NO,,YES,63,NO,,YES,51,NO,,NO,,NO,,NO,,YES,97,NO,,YES,92,NO,,YES,85,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,64,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,59,NO,,NO,,NO,,YES,62,NO,,NO,,NO,,NO,,NO,,YES,98,NO,,NO,,NO,,NO,,YES,72,NO,,NO,,NO,,NO,,YES,97,NO,,NO,,NO,,NO,,YES,73,NO,,YES,94,YES,56,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,87,YES,82,YES,73,NO,,YES,75,YES,70,YES,59,NO,,YES,70,NO,,NO,,NO,,NO,,NO,,YES,97,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,86,YES,83,YES,80,YES,75,YES,73,YES,73,YES,73,YES,66,YES,59,YES,50,YES,50,YES,50,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image24,White,M,38,78,YES,95,YES,94,NO,,NO,,NO,,YES,73,YES,64,NO,,YES,62,NO,,NO,,NO,,YES,63,YES,88,YES,87,NO,,NO,,NO,,NO,,NO,,NO,,YES,97,YES,94,NO,,YES,88,NO,,YES,92,YES,84,NO,,NO,,NO,,NO,,YES,78,NO,,NO,,YES,78,NO,,YES,72,YES,70,NO,,NO,,NO,,NO,,NO,,YES,53,NO,,YES,56,NO,,YES,98,YES,97,NO,,NO,,NO,,YES,85,NO,,YES,74,NO,,NO,,NO,,YES,67,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,70,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,YES,98,NO,,NO,,NO,,YES,72,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,77,YES,60,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,62,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,64,YES,62,YES,55,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image25,White,F,29,69,NO,,NO,,YES,80,NO,,YES,84,NO,,NO,,NO,,YES,58,NO,,NO,,NO,,YES,55,YES,88,YES,87,NO,,NO,,NO,,NO,,NO,,NO,,YES,97,NO,,YES,88,YES,88,NO,,YES,91,NO,,NO,,NO,,NO,,NO,,YES,70,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,52,NO,,YES,59,YES,57,NO,,NO,,NO,,NO,,NO,,NO,,YES,81,YES,82,NO,,NO,,NO,,NO,,NO,,NO,,YES,63,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,53,YES,69,NO,,NO,,NO,,NO,,NO,,NO,,YES,98,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,97,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,90,YES,77,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,94,YES,86,YES,78,YES,78,YES,74,YES,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine,Image26,Middle Eastern,F,38,94,YES,94,YES,94,YES,70,YES,83,YES,80,YES,68,YES,,NO,60,YES,68,YES,70,YES,,NO,59,YES,,NO,,NO,,NO,92,YES,86,YES,,NO,68,YES,98,YES,97,YES,,NO,87,YES,,NO,,NO,87,YES,,NO,,NO,78,YES,,NO,,NO,,NO,,NO,80,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,56,YES,,NO,51,YES,,NO,,NO,,NO,,NO,97,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,52,YES,,NO,,NO,,NO,,NO,,NO,91,YES,,NO,54,YES,,NO,,NO,,NO,51,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,55,YES,69,YES,,NO,,NO,,NO,,NO,,NO,97,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,84,YES,,NO,74,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image27,White,F,48,95,YES,94,YES,90,YES,,NO,,NO,67,YES,,NO,,NO,62,YES,,NO,,NO,,NO,63,YES,87,YES,,NO,,NO,,NO,,NO,,NO,,NO,98,YES,97,YES,,NO,89,YES,88,YES,,NO,93,YES,,NO,,NO,83,YES,,NO,,NO,,NO,,NO,,NO,69,YES,,NO,72,YES,72,YES,,NO,,NO,,NO,,NO,,NO,56,YES,,NO,,NO,,NO,98,YES,97,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,51,YES,59,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,72,YES,,NO,,NO,52,YES,,NO,,NO,,NO,,NO,,NO,98,YES,98,YES,,NO,,NO,,NO,71,YES,,NO,,NO,,NO,,NO,98,YES,98,YES,,NO,84,YES,89,YES,,NO,,NO,,NO,,YES,59,NO,,NO,,NO,,NO,,NO,,NO,,NO,81,YES,65,YES,,NO,,NO,,NO,87,YES,87,YES,85,YES,77,YES,76,YES,75,YES,68,YES,62,YES,58,YES,56,YES,50,YES,80,YES,76,YES,72,YES,64,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image28,Black,M,18,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,59,YES,,NO,,NO,,NO,59,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,98,YES,,NO,,NO,79,YES,88,YES,,NO,80,YES,,NO,,NO,77,YES,,NO,,NO,58,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,98,YES,97,YES,,NO,,NO,,NO,,NO,,NO,,NO,91,YES,79,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,72,YES,72,YES,,NO,,NO,98,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,59,YES,67,YES,79,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image29,Black,F,35,94,YES,,NO,,NO,,NO,,NO,,NO,67,YES,,NO,54,YES,64,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,97,YES,,NO,,NO,,NO,,NO,90,YES,,NO,87,YES,82,YES,,NO,,NO,,NO,,NO,75,YES,,NO,,NO,,NO,67,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,56,YES,,NO,,NO,,NO,,NO,,NO,98,YES,98,YES,,NO,,NO,70,YES,71,YES,,NO,,NO,90,YES,95,YES,,NO,98,YES,97,YES,96,YES,91,YES,89,YES,89,YES,87,YES,85,YES,85,YES,81,YES,79,YES,74,YES,72,YES,68,YES,66,YES,63,YES,59,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image30,Black,M,24,95,YES,,NO,68,YES,,NO,83,YES,,NO,,NO,,NO,,YES,67,YES,65,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,98,YES,97,YES,,NO,,NO,,NO,63,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,98,YES,,NO,,NO,,NO,,NO,85,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,53,YES,,NO,,NO,,NO,,NO,52,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,71,YES,,NO,,NO,,NO,,NO,98,YES,,NO,,NO,66,YES,70,YES,71,YES,79,YES,82,YES,91,YES,95,YES,98,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image31,White,M,30,94,YES,,NO,,NO,,NO,60,YES,,NO,,NO,,NO,59,YES,53,YES,,NO,,NO,57,YES,87,YES,,NO,,NO,,NO,,NO,,NO,,NO,98,YES,,NO,,NO,,NO,88,YES,,NO,82,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,68,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,97,YES,,NO,,NO,,NO,,NO,,NO,,NO,92,YES,80,YES,,NO,,NO,53,YES,,NO,,NO,,NO,84,YES,74,YES,52,YES,,NO,,NO,,NO,60,YES,65,YES,65,YES,70,YES,70,YES,70,YES,73,YES,73,YES,82,YES,85,YES,98,YES,98,YES,99,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image32,White,F,26,,NO,,NO,95,YES,77,YES,84,YES,,NO,65,YES,,NO,58,YES,60,YES,,NO,,NO,53,YES,88,YES,87,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,94,YES,88,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,53,YES,,NO,,YES,66,YES,98,YES,,NO,,NO,,NO,,NO,85,YES,,NO,,NO,,NO,,NO,53,YES,,NO,70,YES,,NO,,NO,,NO,84,YES,78,YES,75,YES,57,YES,67,YES,51,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Image33,White,M,31,94,YES,,NO,98,YES,,NO,86,YES,,NO,,NO,,NO,60,YES,65,YES,,NO,,NO,59,YES,89,YES,87,YES,,NO,,NO,,NO,,NO,,NO,98,YES,,NO,94,YES,89,YES,88,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,77,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,59,YES,65,YES,98,YES,97,YES,92,YES,91,YES,89,YES,85,YES,83,YES,79,YES,76,YES,74,YES,63,YES,61,YES,61,YES,59,YES,51,YES,95,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,, NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incidence Rate of Race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
